sayso_subcategory_slug,fsq_category_id,fsq_category_name,count
galleries,4bf58dd8d48988d171941735,Event Space,2
galleries,4bf58dd8d48988d1db931735,Tapas Restaurant,2
galleries,4bf58dd8d48988d1e2931735,Art Gallery,85
gyms,52e81612bcbc57f1066b7a2e,Sports Club,1
gyms,52f2ab2ebcbc57f1066b8b48,Gymnastics Center,1
gyms,4bf58dd8d48988d101941735,Martial Arts Dojo,1
gyms,52f2ab2ebcbc57f1066b8b47,Boxing Gym,6
gyms,4bf58dd8d48988d105941735,Gym Pool,1
gyms,4bf58dd8d48988d176941735,Gym,25
gyms,4bf58dd8d48988d175941735,Gym and Studio,38
hiking,4f2a25ac4b909258e854f55f,Neighborhood,1
hiking,4bf58dd8d48988d163941735,Park,1
hiking,56aa371be4b08b9a8d57355e,Bike Trail,1
hiking,52f2ab2ebcbc57f1066b8b50,Cable Car,1
hiking,4bf58dd8d48988d1f2941735,Sporting Goods Retail,1
hiking,4bf58dd8d48988d165941735,Scenic Lookout,2
hiking,5bae9231bedf3950379f89cd,Hill,2
hiking,52e81612bcbc57f1066b7a21,National Park,2
hiking,4eb1d4d54b900d56c88a45fc,Mountain,5
hiking,4bf58dd8d48988d159941735,Hiking Trail,24
home-decor,63be6904847c3692a84b9bf2,Housewares Store,1
home-decor,52f2ab2ebcbc57f1066b8b45,Organic Grocery,1
home-decor,4bf58dd8d48988d1f8941735,Furniture and Home Store,38
legal-services,4bf58dd8d48988d124941735,Office,1
legal-services,52f2ab2ebcbc57f1066b8b3f,Law Office,3
miscellaneous,63be6904847c3692a84b9b58,Home Improvement Service,1
miscellaneous,4bf58dd8d48988d130941735,Structure,1
miscellaneous,4bf58dd8d48988d13b941735,Education,1
miscellaneous,52f2ab2ebcbc57f1066b8b28,Print Store,1
miscellaneous,4d4b7105d754a06372d81259,College and University,1
miscellaneous,4bf58dd8d48988d127941735,Meeting Room,1
miscellaneous,52f2ab2ebcbc57f1066b8b36,IT Service,1
miscellaneous,4f2a25ac4b909258e854f55f,Neighborhood,1
miscellaneous,4bf58dd8d48988d124941735,Office,7
miscellaneous,4bf58dd8d48988d198941735,College Academic Building,1
miscellaneous,4bf58dd8d48988d12a951735,Train,3
miscellaneous,4f04afc02fb6e1c99f3db0bc,Mobile Phone Store,1
miscellaneous,4bf58dd8d48988d174941735,Coworking Space,4
miscellaneous,56aa371be4b08b9a8d573517,Business Center,10
miscellaneous,5453de49498eade8af355881,Business Service,11
museums,4bf58dd8d48988d1e2931735,Art Gallery,2
museums,50aaa49e4b90af0d42d5de11,Castle,1
museums,4bf58dd8d48988d192941735,Planetarium,1
museums,4bf58dd8d48988d191941735,Science Museum,2
museums,4bf58dd8d48988d181941735,Museum,14
museums,4bf58dd8d48988d18f941735,Art Museum,4
museums,4bf58dd8d48988d190941735,History Museum,17
nail-salons,54541900498ea6ccd0202697,Health and Beauty Service,1
nail-salons,4bf58dd8d48988d110951735,Hair Salon,2
nail-salons,4bf58dd8d48988d1ed941735,Spa,2
